;Values;Average_difference;Average_value;Std_values;videoid;channel
2;Saturation;0.12312418300653602;65.81767046428524;3.7410425303862915;3;Bluey
0;Hue;0.88548174301676;257.09657107835966;78.78370037270558;4;Bluey
1;Lightness;0.15518817180205421;50.53052854723453;12.23912054088958;4;Bluey
2;Saturation;0.16063374416433232;54.30029521371447;8.783997418811023;4;Bluey
0;Hue;0.7231231951189838;325.9328013378295;34.01596774604511;5;Bluey
1;Lightness;0.1443720344642603;71.81262784142221;5.793246053518203;5;Bluey
2;Saturation;0.14317956156964928;73.38936652453854;7.446857984961076;5;Bluey
0;Hue;0.7198791188142263;312.15717292248604;59.826818310917126;6;Bluey
1;Lightness;0.14195251146671148;56.87424368947274;15.47166472080261;6;Bluey
2;Saturation;0.14139012601705753;62.667116683106165;15.197934902686084;6;Bluey
0;Hue;0.9357890876306081;351.4472648102635;74.05065298816163;7;Bluey
1;Lightness;0.16607231734192257;73.86552136752137;12.176742776818058;7;Bluey
2;Saturation;0.17676889868339254;74.48745978160782;11.307566083856953;7;Bluey
0;Hue;1.0598784381157613;238.8956854761514;72.26429046823979;8;Bluey
1;Lightness;0.15907041469163619;58.15069081234342;8.443888777425322;8;Bluey
2;Saturation;0.1542205947108037;53.67415104965723;8.093887112588831;8;Bluey
0;Hue;0.6673529411764713;421.5223771323864;23.567072899020058;9;Bluey
1;Lightness;0.11279155453030874;79.23784842836187;4.24640718216592;9;Bluey
2;Saturation;0.1138361912085096;77.50961317267843;5.320107458182244;9;Bluey
0;Hue;0.909775216138329;339.57654558330177;31.894928455162482;10;Bluey
1;Lightness;0.17394945784910182;69.28332720745149;5.443937159957705;10;Bluey
2;Saturation;0.1753853823309663;69.8679221711732;6.7906334922848774;10;Bluey
0;Hue;1.041759072139908;352.2641163128087;52.446816837270646;11;Bluey
1;Lightness;0.17977850241545895;74.81751488164987;8.038532573700913;11;Bluey
2;Saturation;0.1538743961352657;64.79757919480723;7.367692856357241;11;Bluey
0;Hue;1.0044621175677435;320.5141612792822;44.08679792902063;12;Bluey
1;Lightness;0.17181013297839579;67.73784927279112;6.6492447659436325;12;Bluey
2;Saturation;0.1405175312111016;69.1277643732328;6.265861406665179;12;Bluey
0;Hue;0.8276168711708222;308.0580482321623;44.20494602620441;13;Bluey
1;Lightness;0.14330820317385096;64.78293595209897;8.581635738360712;13;Bluey
2;Saturation;0.1216990041400918;76.62843310961968;5.44677982187812;13;Bluey
0;Hue;0.9267915681264046;403.1595890551834;31.261526654434988;14;Bluey
1;Lightness;0.12767826947292663;79.13636269050693;4.331976005451222;14;Bluey
2;Saturation;0.22978395394855172;67.91696700770056;7.351185066482471;14;Bluey
0;Hue;0.5406771828660093;359.18499683975614;51.085683602497824;15;Bluey
1;Lightness;0.09242477038491202;75.77768625114626;7.849984953798532;15;Bluey
2;Saturation;0.0835114982822689;72.07193002622556;6.590609890195707;15;Bluey
0;Hue;0.696445577343347;331.47352290838325;30.670910182206093;16;Bluey
1;Lightness;0.15971585643603262;68.87638506480336;5.958150275524998;16;Bluey
2;Saturation;0.14748075865860355;68.8685855136182;7.901865261314228;16;Bluey
0;Hue;0.5406771828660093;359.18499683975614;51.085683602497824;17;Bluey
1;Lightness;0.09242477038491202;75.77768625114626;7.849984953798532;17;Bluey
2;Saturation;0.0835114982822689;72.07193002622556;6.590609890195707;17;Bluey
0;Hue;1.0282497063672111;251.00195458381896;63.48876782197148;18;Bluey
1;Lightness;0.20131629418726943;53.1116720692201;13.919609345831233;18;Bluey
2;Saturation;0.21586583046599309;64.55698624721308;12.266414253950867;18;Bluey
0;Hue;0.7760751711793934;280.63833512822237;46.48517657286741;19;Bluey
1;Lightness;0.14999625829575222;54.572800154867835;11.208799033103466;19;Bluey
2;Saturation;0.16480040961814912;54.99532977662284;14.80586685484556;19;Bluey
0;Hue;1.1620211013567436;330.34881596698165;77.02029805701929;20;Bluey
1;Lightness;0.18897931279178334;68.2979793931857;10.444050454126593;20;Bluey
2;Saturation;0.16073939122315598;66.42525394967053;9.359780064342734;20;Bluey
0;Hue;2.7621901280102974;358.6601491740413;56.669654178959625;1;Coco
1;Lightness;0.5117469107681796;71.18174402110225;11.125501179414453;1;Coco
2;Saturation;0.4619083290625059;75.32274545859961;9.644993151376244;1;Coco
0;Hue;2.4534515741451135;318.3595031651418;64.2899500640849;2;Coco
1;Lightness;0.4425652155221267;70.16588847208871;13.036504543799778;2;Coco
