;type;num_scene_changes;difference;std_count;scene_changes_per_min;time_interval;videoid;channel
96;half_half_second;55;9;13.9391534893623;8.79212895122462;6.37428571428571;20;BabyChaCha
97;half_second;64;0;13.9391534893623;8.79212895122462;6.37428571428571;20;BabyChaCha
98;per_second;59;5;13.9391534893623;8.79212895122462;6.37428571428571;20;BabyChaCha
99;two_seconds;52;12;13.9391534893623;8.79212895122462;6.37428571428571;20;BabyChaCha
100;all_frames;42;15;6.61059755241536;12.3307780133747;4.6515873015873;1;Bebefinn
101;half_half_second;57;0;6.61059755241536;12.3307780133747;4.6515873015873;1;Bebefinn
102;half_second;57;0;6.61059755241536;12.3307780133747;4.6515873015873;1;Bebefinn
103;per_second;56;1;6.61059755241536;12.3307780133747;4.6515873015873;1;Bebefinn
104;two_seconds;49;8;6.61059755241536;12.3307780133747;4.6515873015873;1;Bebefinn
105;all_frames;52;21;8.84307638777366;15.6600301154425;3.65833333333333;2;Bebefinn
106;half_half_second;72;1;8.84307638777366;15.6600301154425;3.65833333333333;2;Bebefinn
107;half_second;73;0;8.84307638777366;15.6600301154425;3.65833333333333;2;Bebefinn
108;per_second;70;3;8.84307638777366;15.6600301154425;3.65833333333333;2;Bebefinn
109;two_seconds;62;11;8.84307638777366;15.6600301154425;3.65833333333333;2;Bebefinn
110;all_frames;75;12;6.12372435695795;21.579283887468;2.71066666666667;3;Bebefinn
111;half_half_second;87;0;6.12372435695795;21.579283887468;2.71066666666667;3;Bebefinn
112;half_second;86;1;6.12372435695795;21.579283887468;2.71066666666667;3;Bebefinn
113;per_second;83;4;6.12372435695795;21.579283887468;2.71066666666667;3;Bebefinn
114;two_seconds;74;13;6.12372435695795;21.579283887468;2.71066666666667;3;Bebefinn
115;all_frames;44;23;8.87130204648675;12.8717698683569;4.45681818181818;4;Bebefinn
116;half_half_second;59;8;8.87130204648675;12.8717698683569;4.45681818181818;4;Bebefinn
117;half_second;67;0;8.87130204648675;12.8717698683569;4.45681818181818;4;Bebefinn
118;per_second;64;3;8.87130204648675;12.8717698683569;4.45681818181818;4;Bebefinn
119;two_seconds;57;10;8.87130204648675;12.8717698683569;4.45681818181818;4;Bebefinn
120;all_frames;45;21;8.76356092008266;13.3070478068014;4.39259259259259;5;Bebefinn
121;half_half_second;52;14;8.76356092008266;13.3070478068014;4.39259259259259;5;Bebefinn
122;half_second;64;2;8.76356092008266;13.3070478068014;4.39259259259259;5;Bebefinn
123;per_second;66;0;8.76356092008266;13.3070478068014;4.39259259259259;5;Bebefinn
124;two_seconds;60;6;8.76356092008266;13.3070478068014;4.39259259259259;5;Bebefinn
125;all_frames;40;26;10.3537432844358;12.4740124740125;4.58416666666667;6;Bebefinn
126;half_half_second;62;4;10.3537432844358;12.4740124740125;4.58416666666667;6;Bebefinn
127;half_second;66;0;10.3537432844358;12.4740124740125;4.58416666666667;6;Bebefinn
128;per_second;62;4;10.3537432844358;12.4740124740125;4.58416666666667;6;Bebefinn
129;two_seconds;54;12;10.3537432844358;12.4740124740125;4.58416666666667;6;Bebefinn
130;all_frames;103;42;25.3041498572863;31.3599458728011;1.82556634304207;7;Bebefinn
131;half_half_second;145;0;25.3041498572863;31.3599458728011;1.82556634304207;7;Bebefinn
132;half_second;131;14;25.3041498572863;31.3599458728011;1.82556634304207;7;Bebefinn
133;per_second;108;37;25.3041498572863;31.3599458728011;1.82556634304207;7;Bebefinn
134;two_seconds;80;65;25.3041498572863;31.3599458728011;1.82556634304207;7;Bebefinn
135;all_frames;48;12;4.87852436706019;15.0470219435737;3.79930555555556;8;Bebefinn
136;half_half_second;53;7;4.87852436706019;15.0470219435737;3.79930555555556;8;Bebefinn
137;half_second;58;2;4.87852436706019;15.0470219435737;3.79930555555556;8;Bebefinn
138;per_second;60;0;4.87852436706019;15.0470219435737;3.79930555555556;8;Bebefinn
139;two_seconds;58;2;4.87852436706019;15.0470219435737;3.79930555555556;8;Bebefinn
140;all_frames;63;19;9.83361581515162;19.551724137931;2.92539682539683;9;Bebefinn
141;half_half_second;81;1;9.83361581515162;19.551724137931;2.92539682539683;9;Bebefinn
142;half_second;82;0;9.83361581515162;19.551724137931;2.92539682539683;9;Bebefinn
143;per_second;74;8;9.83361581515162;19.551724137931;2.92539682539683;9;Bebefinn
144;two_seconds;61;21;9.83361581515162;19.551724137931;2.92539682539683;9;Bebefinn
145;all_frames;30;56;20.9117192023994;8.8481074881206;6.48111111111111;10;Bebefinn
146;half_half_second;67;19;20.9117192023994;8.8481074881206;6.48111111111111;10;Bebefinn
147;half_second;86;0;20.9117192023994;8.8481074881206;6.48111111111111;10;Bebefinn
148;per_second;72;14;20.9117192023994;8.8481074881206;6.48111111111111;10;Bebefinn
149;two_seconds;57;29;20.9117192023994;8.8481074881206;6.48111111111111;10;Bebefinn
150;all_frames;59;23;10.2810505299799;17.7710843373494;3.22372881355932;11;Bebefinn
151;half_half_second;81;1;10.2810505299799;17.7710843373494;3.22372881355932;11;Bebefinn
152;half_second;81;1;10.2810505299799;17.7710843373494;3.22372881355932;11;Bebefinn
153;per_second;82;0;10.2810505299799;17.7710843373494;3.22372881355932;11;Bebefinn
154;two_seconds;68;14;10.2810505299799;17.7710843373494;3.22372881355932;11;Bebefinn
155;all_frames;53;28;12.934450123604;16.5855354659249;3.5188679245283;12;Bebefinn
156;half_half_second;79;2;12.934450123604;16.5855354659249;3.5188679245283;12;Bebefinn
157;half_second;81;0;12.934450123604;16.5855354659249;3.5188679245283;12;Bebefinn
158;per_second;76;5;12.934450123604;16.5855354659249;3.5188679245283;12;Bebefinn
159;two_seconds;58;23;12.934450123604;16.5855354659249;3.5188679245283;12;Bebefinn
160;all_frames;74;8;8.20365772079747;24.5620505255394;2.39009009009009;13;Bebefinn
161;half_half_second;81;1;8.20365772079747;24.5620505255394;2.39009009009009;13;Bebefinn
162;half_second;82;0;8.20365772079747;24.5620505255394;2.39009009009009;13;Bebefinn
163;per_second;82;0;8.20365772079747;24.5620505255394;2.39009009009009;13;Bebefinn
164;two_seconds;63;19;8.20365772079747;24.5620505255394;2.39009009009009;13;Bebefinn
165;all_frames;68;15;6.94982014155762;20.9624935776674;2.72941176470588;14;Bebefinn
166;half_half_second;83;0;6.94982014155762;20.9624935776674;2.72941176470588;14;Bebefinn
167;half_second;83;0;6.94982014155762;20.9624935776674;2.72941176470588;14;Bebefinn
168;per_second;81;2;6.94982014155762;20.9624935776674;2.72941176470588;14;Bebefinn
169;two_seconds;72;11;6.94982014155762;20.9624935776674;2.72941176470588;14;Bebefinn
170;all_frames;78;7;2.88097205817759;21.405702088733;2.73589743589744;15;Bebefinn
171;half_half_second;82;3;2.88097205817759;21.405702088733;2.73589743589744;15;Bebefinn
172;half_second;83;2;2.88097205817759;21.405702088733;2.73589743589744;15;Bebefinn
173;per_second;85;0;2.88097205817759;21.405702088733;2.73589743589744;15;Bebefinn
174;two_seconds;79;6;2.88097205817759;21.405702088733;2.73589743589744;15;Bebefinn
175;all_frames;64;19;7.82943165242535;18.1846882399369;3.15885416666667;16;Bebefinn
176;half_half_second;83;0;7.82943165242535;18.1846882399369;3.15885416666667;16;Bebefinn
177;half_second;79;4;7.82943165242535;18.1846882399369;3.15885416666667;16;Bebefinn
178;per_second;78;5;7.82943165242535;18.1846882399369;3.15885416666667;16;Bebefinn
179;two_seconds;69;14;7.82943165242535;18.1846882399369;3.15885416666667;16;Bebefinn
180;all_frames;48;37;13.7003649586425;13.7953057640109;4.16180555555556;17;Bebefinn
181;half_half_second;85;0;13.7003649586425;13.7953057640109;4.16180555555556;17;Bebefinn
182;half_second;76;9;13.7003649586425;13.7953057640109;4.16180555555556;17;Bebefinn
183;per_second;68;17;13.7003649586425;13.7953057640109;4.16180555555556;17;Bebefinn
184;two_seconds;67;18;13.7003649586425;13.7953057640109;4.16180555555556;17;Bebefinn
185;all_frames;46;12;4.89897948556636;13.260730301089;4.32898550724638;18;Bebefinn
186;half_half_second;50;8;4.89897948556636;13.260730301089;4.32898550724638;18;Bebefinn
187;half_second;55;3;4.89897948556636;13.260730301089;4.32898550724638;18;Bebefinn
188;per_second;58;0;4.89897948556636;13.260730301089;4.32898550724638;18;Bebefinn
189;two_seconds;56;2;4.89897948556636;13.260730301089;4.32898550724638;18;Bebefinn
190;all_frames;45;17;6.87749954561976;13.6893696129796;4.18222222222222;19;Bebefinn
191;half_half_second;56;6;6.87749954561976;13.6893696129796;4.18222222222222;19;Bebefinn
192;half_second;61;1;6.87749954561976;13.6893696129796;4.18222222222222;19;Bebefinn
193;per_second;62;0;6.87749954561976;13.6893696129796;4.18222222222222;19;Bebefinn
194;two_seconds;59;3;6.87749954561976;13.6893696129796;4.18222222222222;19;Bebefinn
195;all_frames;46;36;14.532721699668;13.2395267029101;4.33623188405797;20;Bebefinn
196;half_half_second;72;10;14.532721699668;13.2395267029101;4.33623188405797;20;Bebefinn
197;half_second;82;0;14.532721699668;13.2395267029101;4.33623188405797;20;Bebefinn
198;per_second;81;1;14.532721699668;13.2395267029101;4.33623188405797;20;Bebefinn
199;two_seconds;70;12;14.532721699668;13.2395267029101;4.33623188405797;20;Bebefinn
200;all_frames;24;4;2.28035085019828;14.1121128969032;4.14666666666667;1;Bluey
201;half_half_second;28;0;2.28035085019828;14.1121128969032;4.14666666666667;1;Bluey
202;half_second;26;2;2.28035085019828;14.1121128969032;4.14666666666667;1;Bluey
203;per_second;24;4;2.28035085019828;14.1121128969032;4.14666666666667;1;Bluey
204;two_seconds;22;6;2.28035085019828;14.1121128969032;4.14666666666667;1;Bluey
205;all_frames;43;8;5.89915248150105;21.0371819960861;2.8;2;Bluey
206;half_half_second;51;0;5.89915248150105;21.0371819960861;2.8;2;Bluey
207;half_second;51;0;5.89915248150105;21.0371819960861;2.8;2;Bluey
208;per_second;45;6;5.89915248150105;21.0371819960861;2.8;2;Bluey
209;two_seconds;37;14;5.89915248150105;21.0371819960861;2.8;2;Bluey
210;all_frames;30;0;2.19089023002066;15.1311365164761;3.89333333333333;3;Bluey
211;half_half_second;28;2;2.19089023002066;15.1311365164761;3.89333333333333;3;Bluey
212;half_second;28;2;2.19089023002066;15.1311365164761;3.89333333333333;3;Bluey
213;per_second;28;2;2.19089023002066;15.1311365164761;3.89333333333333;3;Bluey
214;two_seconds;24;6;2.19089023002066;15.1311365164761;3.89333333333333;3;Bluey
215;all_frames;104;1;6.8044103344816;14.8557280259023;4.00961538461539;4;Bluey
216;half_half_second;105;0;6.8044103344816;14.8557280259023;4.00961538461539;4;Bluey
217;half_second;105;0;6.8044103344816;14.8557280259023;4.00961538461539;4;Bluey
