;channel;videoid;length;views;years;url
66;BabyChaCha;7;153.24;5218729;1;https://www.youtube.com/watch?v=8uCRUXDFDvY
67;BabyChaCha;8;195.52;4289839;1;https://www.youtube.com/watch?v=Rfdmg2mrD6I
68;BabyChaCha;9;191.08;3672440;1;https://www.youtube.com/watch?v=Vv077PwD9is
69;BabyChaCha;10;209.04;3327530;1;https://www.youtube.com/watch?v=wYlDPSz56aA
70;BabyChaCha;11;216.68;2652542;1;https://www.youtube.com/watch?v=D9soflf2hhc
71;BabyChaCha;12;171.92;2455656;1;https://www.youtube.com/watch?v=2FX_Tfn1XzQ
72;BabyChaCha;13;140.72;2526613;1;https://www.youtube.com/watch?v=fEin_yWwfpk
73;BabyChaCha;14;182.04;2167563;1;https://www.youtube.com/watch?v=Ggw785ZfGZc
74;BabyChaCha;15;246;2009059;1;https://www.youtube.com/watch?v=-LHZ35TZSAs
75;BabyChaCha;16;167.44;1943148;1;https://www.youtube.com/watch?v=AJM23Izv36s
76;BabyChaCha;17;170.2;1616552;1;https://www.youtube.com/watch?v=7_k7ewRmtKQ
77;BabyChaCha;18;184.4;1411476;1;https://www.youtube.com/watch?v=kgvLk3YonT8
78;BabyChaCha;19;148.52;1408700;1;https://www.youtube.com/watch?v=bI7tIqX2W6w
79;BabyChaCha;20;219.32;1219987;1;https://www.youtube.com/watch?v=Yru9Zj32j78
80;Bluey;1;102.04;39749708;5;https://www.youtube.com/watch?v=BUCbLGDAlP8
81;Bluey;2;127.32;34019002;3;https://www.youtube.com/watch?v=PJ_fljTIrB8
82;Bluey;3;122.12;26664923;4;https://www.youtube.com/watch?v=2f5QgzN5Kv0
83;Bluey;4;134.28;25002610;5;https://www.youtube.com/watch?v=DklpM_lZIOU
84;Bluey;5;119.88;26587303;3;https://www.youtube.com/watch?v=p__DLTPPUtM
85;Bluey;6;134.28;25002610;5;https://www.youtube.com/watch?v=DklpM_lZIOU&t=10s
86;Bluey;7;428.12;24383559;2;https://www.youtube.com/watch?v=d3XW_lvBRVw
87;Bluey;8;119.52;22743347;5;https://www.youtube.com/watch?v=mBNrdanTs3A
88;Bluey;9;420.04;22564726;2;https://www.youtube.com/watch?v=JcinTAfwdVw
89;Bluey;10;122.64;19849526;4;https://www.youtube.com/watch?v=7rQydySZ-oU
90;Bluey;11;118.96;19472915;1;https://www.youtube.com/watch?v=08-Y1_KcSe0
91;Bluey;12;420.04;19198318;1;https://www.youtube.com/watch?v=zL_vNn06a5M
92;Bluey;13;429.88;18396418;4;https://www.youtube.com/watch?v=TErxJFNisBM
93;Bluey;14;419.84;18351215;2;https://www.youtube.com/watch?v=V3r4UWtoN_o
94;Bluey;15;138.84;16808649;5;https://www.youtube.com/watch?v=rKTkYi2J6BY
95;Bluey;16;121.16;15968189;4;https://www.youtube.com/watch?v=Kf0jwCmNKfU
96;Bluey;17;122.44;15445336;1;https://www.youtube.com/watch?v=VX-lYkW4WuQ
97;Bluey;18;124.96;14658848;2;https://www.youtube.com/watch?v=1LC6Lbbp71o
98;Bluey;19;110.44;14495183;5;https://www.youtube.com/watch?v=RDYe2vL0oVM
99;Bluey;20;119.2;13775354;4;https://www.youtube.com/watch?v=bLRfuwN0Hk0
100;SuperSimpleSongs;1;138.125;2353344601;8;https://www.youtube.com/watch?v=4XLQpRI_wOQ
101;SuperSimpleSongs;2;159;2204016005;14;https://www.youtube.com/watch?v=yCjJyiqpAuU
102;SuperSimpleSongs;3;114.7;1997334799;7;https://www.youtube.com/watch?v=1GDFa-nEzlg
103;SuperSimpleSongs;4;173.75;1697810262;8;https://www.youtube.com/watch?v=pZw9veQ76fo
104;SuperSimpleSongs;5;125.172413793103;1040853281;11;https://www.youtube.com/watch?v=l4WNrvVjiTw
105;SuperSimpleSongs;6;100.275862068966;1011371050;6;https://www.youtube.com/watch?v=M6LoRZsHMSs
106;SuperSimpleSongs;7;149.344827586207;924663570;11;https://www.youtube.com/watch?v=eBVqcTEC3zQ
